symbol,exchange,company_name,isin,face_value,status,group,instrument,listing_date,market_lot,paid_up_value,security_code
WINFAGR,BSE,Winfarm Agro Industries Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519381
ANIKINDS,BSE,Anik Industries Limited,INE087B01017,10.00,Active,B ,Equity,,,,519383
SAWNTFD,BSE,Sawant Food Product Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519387
IDUSFOD,BSE,Indus Foods Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519389
EASTOVR,BSE,Eastern Overeseas Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519391
DALMIAIN,BSE,Dalmia Industries Ltd.,INE839C01019,10.00,Delisted,X ,Equity,,,,519393
HARSM,BSE,Haryana Suraj Maltings Ltd.,INE154E01019,10.00,Delisted,Z ,Equity,,,,519395
SHINDL,BSE,Sharat Industries Ltd.,INE220Z01013,10.00,Active,X ,Equity,,,,519397
CENTPRTDM,BSE,Century Proteins Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519399
INDOAQA,BSE,Indo Aquatics Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519401
MILKSPL,BSE,Milk Specialities Ltd.,NA          ,10.00,Suspended,Y ,Equity,,,,519403
SANJAG,BSE,Sanjivani Agro Industries Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519405
UNILIFD,BSE,Uniliv Foods Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519407
SURSF,BSE,Suryachakra Seafoods Ltd.,INE633C01016,10.00,Delisted,Z ,Equity,,,,519411
DATIWARE,BSE,DATIWARE MARITIME INFRA LIMITED,INE673U01014,10.00,Active,P ,Equity,,,,519413
KMGMILK,BSE,KMG Milk Food Limited,INE873N01015,10.00,Active,P ,Equity,,,,519415
MONESHIA,BSE,Moneshi Agro Industries Ltd,INE604C01017,10.00,Delisted,XD,Equity,,,,519417
MAYAGRP,BSE,Maya Agro Products Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519419
KSE,BSE,KSE Ltd.,INE953E01022,1.00,Active,X ,Equity,,,,519421
HERMMLK,BSE,Herman Milkfoods Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519428
PRAKSOV,BSE,Prakash Solvent Extractions Ltd.,-,10.00,Delisted,Y ,Equity,,,,519430
MAHVIFD,BSE,Mahavira Foods Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519433
VAFAGRO,BSE,Vafa Agro Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519435
PIONAGR,BSE,Pioneer Agro Extracts ltd.,INE062E01014,10.00,Suspended,XT,Equity,,,,519439
JAIDIND,BSE,Jaidka Industries Ltd.,INE733M01013,10.00,Delisted,P ,Equity,,,,519441
THAPOIL,BSE,Thapar Oils & Fats Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519443
PAWANPR,BSE,Pawan Proteins Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519445
